Rank,Model,Macro F1,Macro Precision,Macro Recall,Hamming Accuracy,Exact Match,Damage F1,Occlusion F1,Crop F1,Training Time (h),Best Epoch,Val Loss Ratio
1,model_b,0.8061841017978937,0.8038266,0.8087034,0.9187775330396476,0.7772577092511013,0.6469298215160446,0.8030690472598891,0.9685534366177473,1.258382595512602,21,0.9547236283323752
2,model_d,0.7892913085580616,0.7783456,0.8010945,0.9162077826725403,0.7736784140969163,0.6435160201414485,0.8003457547919716,0.9240121507407646,1.4083252636591594,22,0.787366589460554
3,model_c,0.7865954099293949,0.80837536,0.7665687,0.918593979441997,0.7747797356828194,0.6359930146512026,0.7952218143522348,0.9285714007847473,1.3117467192146512,20,0.7476657072095417
4,model_h,0.7810643794440691,0.78971404,0.7750229,0.9079478707782672,0.7439427312775331,0.6088794471213415,0.7755835082604071,0.9587301829504589,2.9943484770589404,37,0.8490104462135339
5,model_baseline,0.7751401612941878,0.8293957,0.7294986,0.9183186490455213,0.7747797356828194,0.6194029762521787,0.7603305995110141,0.9456869081193711,0.0,0,0.0
6,model_g,0.7683499979872028,0.7762649,0.76215094,0.9061123348017621,0.7417400881057269,0.6136606270241569,0.7559055387659676,0.9354838281714837,3.131372367872132,49,0.8581123850902743
7,model_f,0.4203784645111536,0.4141328,0.5034538,0.7781754772393539,0.45870044052863435,0.5148430883791938,0.6673189622693874,0.07897334288487945,0.24364932152960037,3,0.9253665869021807
8,model_e,0.34865022943515717,0.23796779,0.89573735,0.45190895741556536,0.05699339207048458,0.4606365380958911,0.49360339294134975,0.09171075726823043,0.2118244198958079,1,0.615129571063799
9,model_a,0.3441466447713295,0.2576331,0.81821966,0.4447503671071953,0.03716960352422907,0.41681174239871865,0.5300506937260732,0.08557749818919674,0.14656881676779854,1,0.3892991250587434
